"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","7,577.89","7,530.88","7,587.52","7,504.04","52.95M","0.48%"
"10/10/2024","7,541.59","7,543.40","7,563.36","7,515.90","47.65M","-0.24%"
"10/09/2024","7,560.09","7,527.03","7,567.58","7,504.63","50.00M","0.52%"
"10/08/2024","7,521.32","7,480.36","7,542.05","7,475.78","54.05M","-0.72%"
"10/07/2024","7,576.02","7,571.97","7,585.33","7,509.87","54.78M","0.46%"
"10/04/2024","7,541.36","7,464.87","7,571.76","7,460.29","73.42M","0.85%"
"10/03/2024","7,477.78","7,555.23","7,555.24","7,458.49","77.40M","-1.32%"
"10/02/2024","7,577.59","7,594.81","7,623.32","7,548.98","58.41M","0.05%"
"10/01/2024","7,574.07","7,623.33","7,654.58","7,547.12","68.82M","-0.81%"
"09/30/2024","7,635.75","7,748.07","7,763.89","7,634.82","103.18M","-2.00%"
"09/27/2024","7,791.79","7,762.45","7,804.64","7,743.88","72.88M","0.64%"
"09/26/2024","7,742.09","7,663.03","7,742.09","7,652.61","78.59M","2.33%"
"09/25/2024","7,565.62","7,549.26","7,595.77","7,546.86","58.32M","-0.50%"
"09/24/2024","7,604.01","7,608.47","7,634.23","7,575.36","60.27M","1.28%"
"09/23/2024","7,508.08","7,499.92","7,518.77","7,456.44","63.94M","0.10%"
"09/20/2024","7,500.26","7,597.52","7,603.20","7,500.26","126.03M","-1.51%"
"09/19/2024","7,615.41","7,557.04","7,615.41","7,520.08","68.59M","2.29%"
"09/18/2024","7,444.90","7,489.85","7,495.31","7,444.18","45.99M","-0.57%"
"09/17/2024","7,487.42","7,485.14","7,523.87","7,473.90","54.49M","0.51%"
"09/16/2024","7,449.44","7,432.17","7,480.60","7,430.06","39.03M","-0.21%"
"09/13/2024","7,465.25","7,441.56","7,490.84","7,438.65","51.70M","0.41%"
"09/12/2024","7,435.07","7,478.91","7,484.16","7,391.54","53.48M","0.52%"